,index,School,Type,startSalary,midSalary,mid10,mid25,mid75,mid90
122,122,University of New Mexico (UNM),State,41600.0,81600.0,41800.0,59100.0,105000.0,141000.0
123,119,University of Illinois at Chicago,State,47500.0,81700.0,44700.0,58800.0,110000.0,146000.0
124,120,State University of New York (SUNY) at Buffalo,State,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0
125,118,University of Idaho,State,44900.0,82000.0,43000.0,56700.0,104000.0,142000.0
126,117,"California State University, Sacramento (CSUS)",State,47800.0,82400.0,42900.0,59600.0,111000.0,154000.0
127,115,University of Vermont (UVM),State,44800.0,82700.0,44700.0,58000.0,122000.0,194000.0
128,116,University of Alabama at Huntsville (UAH),State,43100.0,82700.0,46100.0,67800.0,106000.0,132000.0
129,114,University of Arkansas,State,44100.0,82800.0,43200.0,60700.0,113000.0,160000.0
130,113,University of Oklahoma,State,44700.0,82900.0,41200.0,60300.0,114000.0,167000.0
131,112,"University of Nevada, Reno (UNR)",State,46500.0,82900.0,41900.0,54600.0,113000.0,143000.0
132,111,University of Utah,State,45400.0,83200.0,43000.0,58400.0,116000.0,148000.0
133,110,Oregon State University (OSU),State,45100.0,83300.0,46900.0,64000.0,113000.0,146000.0
134,109,North Carolina State University (NCSU),State,47200.0,83300.0,49200.0,64800.0,112000.0,153000.0
135,108,Ohio State University (OSU),State,44900.0,83700.0,45500.0,60700.0,116000.0,162000.0
136,43,Smith College,Liberal Arts,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0
137,26,University of Iowa (UI),Party,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
138,107,University of Iowa (UI),State,44700.0,83900.0,43300.0,61100.0,116000.0,163000.0
139,106,"Indiana University (IU), Bloomington",State,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
140,25,"Indiana University (IU), Bloomington",Party,46300.0,84000.0,43600.0,60400.0,119000.0,178000.0
141,105,"University of California, Santa Cruz (UCSC)",State,44700.0,84100.0,46100.0,62000.0,121000.0,165000.0
142,24,Arizona State University (ASU),Party,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
143,104,Arizona State University (ASU),State,47400.0,84100.0,44600.0,60700.0,114000.0,163000.0
144,102,State University of New York (SUNY) at Farmingdale,State,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0
145,103,University of Minnesota,State,46200.0,84200.0,49000.0,63200.0,112000.0,148000.0
146,101,"California State University, East Bay (CSUEB)",State,49200.0,84300.0,46000.0,62400.0,115000.0,155000.0
147,100,University of Colorado - Denver,State,46100.0,84400.0,46400.0,58600.0,105000.0,144000.0
148,99,University of Delaware,State,45900.0,84500.0,44500.0,64000.0,119000.0,165000.0
149,98,Iowa State University,State,45400.0,84600.0,44400.0,60000.0,109000.0,147000.0
150,12,Rochester Institute of Technology (RIT),Engineering,48900.0,84600.0,45000.0,62100.0,112000.0,159000.0
151,97,"California State University, Long Beach (CSULB)",State,45100.0,84700.0,47400.0,62500.0,113000.0,154000.0
152,96,Washington State University (WSU),State,45300.0,84700.0,43600.0,59000.0,113000.0,162000.0
153,95,Auburn University,State,45400.0,84700.0,45400.0,62700.0,109000.0,145000.0
154,42,Siena College,Liberal Arts,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0
155,94,San Diego State University (SDSU),State,46200.0,85200.0,45500.0,61800.0,116000.0,158000.0
156,91,University of Washington (UW),State,48800.0,85300.0,47000.0,59800.0,115000.0,149000.0
157,92,Michigan State University (MSU),State,46300.0,85300.0,44200.0,61500.0,119000.0,170000.0
158,93,University of Rhode Island (URI),State,43900.0,85300.0,45400.0,60100.0,112000.0,157000.0
